agency_cd,site_no,datetime,10977_00060_00003,10977_00060_00003_cd
5s,15s,20d,14n,10s
USGS,11446500,01-01-2022,5030,A
USGS,11446500,02-01-2022,5040,A
USGS,11446500,03-01-2022,5030,A
USGS,11446500,04-01-2022,4980,A
USGS,11446500,05-01-2022,4900,A
USGS,11446500,06-01-2022,4930,A
USGS,11446500,07-01-2022,4890,A
USGS,11446500,08-01-2022,4880,A
USGS,11446500,09-01-2022,4880,A
USGS,11446500,10-01-2022,4820,A
USGS,11446500,11-01-2022,4820,A
USGS,11446500,12-01-2022,4850,A
USGS,11446500,13-01-2022,2710,A
USGS,11446500,14-01-2022,4020,A
USGS,11446500,15-01-2022,4020,A
USGS,11446500,16-01-2022,4020,A
USGS,11446500,17-01-2022,4010,A
USGS,11446500,18-01-2022,3990,A
USGS,11446500,19-01-2022,3990,A
USGS,11446500,20-01-2022,3710,A
USGS,11446500,21-01-2022,3230,A
USGS,11446500,22-01-2022,3070,A
USGS,11446500,23-01-2022,3080,A
USGS,11446500,24-01-2022,3080,A
USGS,11446500,25-01-2022,2750,A
USGS,11446500,26-01-2022,2240,A
USGS,11446500,27-01-2022,2060,A
USGS,11446500,28-01-2022,2070,A
USGS,11446500,29-01-2022,2070,A
USGS,11446500,30-01-2022,2060,A
USGS,11446500,31-01-2022,2040,A
USGS,11446500,01-02-2022,2010,A
USGS,11446500,02-02-2022,2010,A
USGS,11446500,03-02-2022,2030,A
USGS,11446500,04-02-2022,2040,A
USGS,11446500,05-02-2022,2040,A
USGS,11446500,06-02-2022,2040,A
USGS,11446500,07-02-2022,2040,A
USGS,11446500,08-02-2022,2040,A
USGS,11446500,09-02-2022,2040,A
USGS,11446500,10-02-2022,2040,A
USGS,11446500,11-02-2022,2030,A
USGS,11446500,12-02-2022,2020,A
USGS,11446500,13-02-2022,2030,A
USGS,11446500,14-02-2022,2020,A
USGS,11446500,15-02-2022,2040,A
USGS,11446500,16-02-2022,2150,A
USGS,11446500,17-02-2022,2210,A
USGS,11446500,18-02-2022,2220,A
USGS,11446500,19-02-2022,2240,A
USGS,11446500,20-02-2022,2210,A
USGS,11446500,21-02-2022,2190,A
USGS,11446500,22-02-2022,2170,A
USGS,11446500,23-02-2022,2140,A
USGS,11446500,24-02-2022,2090,A
USGS,11446500,25-02-2022,2070,A
USGS,11446500,26-02-2022,2070,A
USGS,11446500,27-02-2022,2060,A
USGS,11446500,28-02-2022,2060,A
USGS,11446500,01-03-2022,2050,A
USGS,11446500,02-03-2022,2040,A
USGS,11446500,03-03-2022,2040,A
USGS,11446500,04-03-2022,1960,A
USGS,11446500,05-03-2022,1950,A
USGS,11446500,06-03-2022,1920,A
USGS,11446500,07-03-2022,1980,A
USGS,11446500,08-03-2022,1980,A
USGS,11446500,09-03-2022,1990,A
USGS,11446500,10-03-2022,2000,A
USGS,11446500,11-03-2022,1990,A
USGS,11446500,12-03-2022,1940,A
USGS,11446500,13-03-2022,1930,A
USGS,11446500,14-03-2022,1760,A
USGS,11446500,15-03-2022,1500,A
USGS,11446500,16-03-2022,1260,A
USGS,11446500,17-03-2022,1240,A
USGS,11446500,18-03-2022,1170,A
USGS,11446500,19-03-2022,1200,A
USGS,11446500,20-03-2022,1220,A
USGS,11446500,21-03-2022,1230,A
USGS,11446500,22-03-2022,1230,A
USGS,11446500,23-03-2022,1240,A
USGS,11446500,24-03-2022,1240,A
USGS,11446500,25-03-2022,1230,A
USGS,11446500,26-03-2022,1230,A
USGS,11446500,27-03-2022,1230,A
USGS,11446500,28-03-2022,1240,A
USGS,11446500,29-03-2022,1220,A
USGS,11446500,30-03-2022,1220,A
USGS,11446500,31-03-2022,1220,A
USGS,11446500,01-04-2022,1260,A
USGS,11446500,02-04-2022,1250,A
USGS,11446500,03-04-2022,1260,A
USGS,11446500,04-04-2022,1250,A
USGS,11446500,05-04-2022,1160,A
USGS,11446500,06-04-2022,1040,A
USGS,11446500,07-04-2022,1030,A
USGS,11446500,08-04-2022,1030,A
USGS,11446500,09-04-2022,1040,A
USGS,11446500,10-04-2022,1030,A
USGS,11446500,11-04-2022,1030,A
USGS,11446500,12-04-2022,1030,A
USGS,11446500,13-04-2022,1030,A
USGS,11446500,14-04-2022,1030,A
USGS,11446500,15-04-2022,1030,A
USGS,11446500,16-04-2022,1030,A
USGS,11446500,17-04-2022,1030,A
USGS,11446500,18-04-2022,1030,A
USGS,11446500,19-04-2022,1010,A
USGS,11446500,20-04-2022,1010,A
USGS,11446500,21-04-2022,1020,A
USGS,11446500,22-04-2022,1030,A
USGS,11446500,23-04-2022,1020,A
USGS,11446500,24-04-2022,1030,A
USGS,11446500,25-04-2022,1020,A
USGS,11446500,26-04-2022,1020,A
USGS,11446500,27-04-2022,1020,A
USGS,11446500,28-04-2022,1010,A
USGS,11446500,29-04-2022,1010,A
USGS,11446500,30-04-2022,1020,A
USGS,11446500,01-05-2022,1020,A
USGS,11446500,02-05-2022,1020,A
USGS,11446500,03-05-2022,1030,A
USGS,11446500,04-05-2022,1030,A
USGS,11446500,05-05-2022,1010,A
USGS,11446500,06-05-2022,1020,A
USGS,11446500,07-05-2022,1020,A
USGS,11446500,08-05-2022,1020,A
USGS,11446500,09-05-2022,1020,A
USGS,11446500,10-05-2022,1510,A
USGS,11446500,11-05-2022,1510,A
USGS,11446500,12-05-2022,1500,A
USGS,11446500,13-05-2022,1500,A
USGS,11446500,14-05-2022,1490,A
USGS,11446500,15-05-2022,1480,A
USGS,11446500,16-05-2022,1480,A
USGS,11446500,17-05-2022,1480,A
USGS,11446500,18-05-2022,1470,A
USGS,11446500,19-05-2022,1470,A
USGS,11446500,20-05-2022,1470,A
USGS,11446500,21-05-2022,1470,A
USGS,11446500,22-05-2022,1470,A
USGS,11446500,23-05-2022,1470,A
USGS,11446500,24-05-2022,1470,A
USGS,11446500,25-05-2022,1460,A
USGS,11446500,26-05-2022,1460,A
USGS,11446500,27-05-2022,1450,A
USGS,11446500,28-05-2022,1650,A
USGS,11446500,29-05-2022,1720,A
USGS,11446500,30-05-2022,1760,A
USGS,11446500,31-05-2022,1760,A
USGS,11446500,01-06-2022,1770,A
USGS,11446500,02-06-2022,1760,A
USGS,11446500,03-06-2022,1760,A
USGS,11446500,04-06-2022,1750,A
USGS,11446500,05-06-2022,1750,A
USGS,11446500,06-06-2022,1760,A
USGS,11446500,07-06-2022,1900,A
USGS,11446500,08-06-2022,1930,A
